"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 10933128, SEN S/N: 10933128, LBL: Porros_40m)"	"Acoplador separado (LGR S/N: 10933128, SEN S/N: 10933128)"	"Acoplador adjunto (LGR S/N: 10933128, SEN S/N: 10933128)"	"Host conectado (LGR S/N: 10933128, SEN S/N: 10933128)"	"Parado (LGR S/N: 10933128, SEN S/N: 10933128)"	"Final de archivo (LGR S/N: 10933128, SEN S/N: 10933128)"
1	18/05/22	10:00:00	21.103	Registrado				
2	18/05/22	10:05:00	21.318					
3	18/05/22	10:10:00	21.652					
4	18/05/22	10:15:00	21.963					
5	18/05/22	10:20:00	21.843					
6	18/05/22	10:25:00	21.843					
7	18/05/22	10:30:00	21.891					
8	18/05/22	10:35:00	21.963					
9	18/05/22	10:40:00	22.561					
10	18/05/22	10:45:00	22.824					
11	18/05/22	10:50:00	22.872					
12	18/05/22	10:55:00	22.944					
13	18/05/22	11:00:00	22.920					
14	18/05/22	11:05:00	22.824					
15	18/05/22	11:10:00	22.657					
16	18/05/22	11:15:00	22.872					
17	18/05/22	11:20:00	23.016					
18	18/05/22	11:25:00	23.136					
19	18/05/22	11:30:00	23.256					
20	18/05/22	11:35:00	23.424					
21	18/05/22	11:40:00	23.472					
22	18/05/22	11:45:00	23.521					
23	18/05/22	11:50:00	24.002					
24	18/05/22	11:55:00	20.722					
25	18/05/22	12:00:00	20.103					
26	18/05/22	12:05:00	18.913					
27	18/05/22	12:10:00	17.320					
28	18/05/22	12:15:00	16.272					
29	18/05/22	12:20:00	16.034					
30	18/05/22	12:25:00	15.915					
31	18/05/22	12:30:00	15.867					
32	18/05/22	12:35:00	15.819					
33	18/05/22	12:40:00	15.796					
34	18/05/22	12:45:00	15.819					
35	18/05/22	12:50:00	15.819					
36	18/05/22	12:55:00	15.796					
37	18/05/22	13:00:00	15.796					
38	18/05/22	13:05:00	15.772					
39	18/05/22	13:10:00	15.796					
40	18/05/22	13:15:00	15.796					
41	18/05/22	13:20:00	15.796					
42	18/05/22	13:25:00	15.796					
43	18/05/22	13:30:00	15.772					
44	18/05/22	13:35:00	15.772					
45	18/05/22	13:40:00	15.772					
46	18/05/22	13:45:00	15.772					
47	18/05/22	13:50:00	15.772					
48	18/05/22	13:55:00	15.772					
49	18/05/22	14:00:00	15.772					
50	18/05/22	14:05:00	15.772					
51	18/05/22	14:10:00	15.772					
52	18/05/22	14:15:00	15.796					
53	18/05/22	14:20:00	15.772					
54	18/05/22	14:25:00	15.772					
55	18/05/22	14:30:00	15.772					
56	18/05/22	14:35:00	15.796					
57	18/05/22	14:40:00	15.796					
